id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
35946,KEYSTONE GAS PLANT,RN100238633,138736,EMISSIONS EVENT,2010-04-21 18:45:00+00:00,2010-04-21 23:34:00+00:00,4.81666666666667
35980,KEYSTONE GAS PLANT,RN100238633,138774,EMISSIONS EVENT,2010-04-22 13:23:00+00:00,2010-04-22 20:28:00+00:00,7.08333333333333
36037,KEYSTONE GAS PLANT,RN100238633,138835,EMISSIONS EVENT,2010-04-23 01:43:00+00:00,2010-05-07 10:50:00+00:00,345.116666666667
36156,KEYSTONE GAS PLANT,RN100238633,138932,EMISSIONS EVENT,2010-04-26 15:40:00+00:00,2010-04-27 05:30:00+00:00,13.8333333333333
36228,KEYSTONE GAS PLANT,RN100238633,139046,EMISSIONS EVENT,2010-04-28 18:25:00+00:00,2010-04-28 22:00:00+00:00,3.58333333333333
36868,KEYSTONE GAS PLANT,RN100238633,139773,EMISSIONS EVENT,2010-05-15 09:25:00+00:00,2010-05-15 23:33:00+00:00,14.1333333333333
37426,KEYSTONE GAS PLANT,RN100238633,140341,EMISSIONS EVENT,2010-05-29 14:39:00+00:00,2010-05-30 01:24:00+00:00,10.75
37552,KEYSTONE GAS PLANT,RN100238633,140436,EMISSIONS EVENT,2010-06-02 01:40:00+00:00,2010-06-02 03:55:00+00:00,2.25
37888,KEYSTONE GAS PLANT,RN100238633,140748,EMISSIONS EVENT,2010-06-07 17:25:00+00:00,2010-06-08 07:26:00+00:00,14.0166666666667
38473,KEYSTONE GAS PLANT,RN100238633,141250,EMISSIONS EVENT,2010-06-16 01:45:00+00:00,2010-06-16 05:30:00+00:00,3.75
38519,KEYSTONE GAS PLANT,RN100238633,141298,EMISSIONS EVENT,2010-06-17 03:30:00+00:00,2010-06-17 06:55:00+00:00,3.41666666666667
31041,KEYSTONE GAS PLANT,RN100238633,141456,EMISSIONS EVENT,2010-06-22 15:30:00+00:00,2010-06-23 03:20:00+00:00,11.8333333333333
31526,KEYSTONE GAS PLANT,RN100238633,141907,EMISSIONS EVENT,2010-07-03 14:11:00+00:00,2010-07-03 16:55:00+00:00,2.73333333333333
32167,KEYSTONE GAS PLANT,RN100238633,142561,EMISSIONS EVENT,2010-07-19 22:45:00+00:00,2010-07-20 04:10:00+00:00,5.41666666666667
32977,KEYSTONE GAS PLANT,RN100238633,143332,EMISSIONS EVENT,2010-08-09 03:52:00+00:00,2010-08-09 16:58:00+00:00,13.1
33176,KEYSTONE GAS PLANT,RN100238633,143517,EMISSIONS EVENT,2010-08-12 23:25:00+00:00,2010-08-13 16:40:00+00:00,17.25
33954,KEYSTONE GAS PLANT,RN100238633,144330,EMISSIONS EVENT,2010-09-01 16:35:00+00:00,2010-09-01 23:17:00+00:00,6.7
33955,KEYSTONE GAS PLANT,RN100238633,144331,EMISSIONS EVENT,2010-09-01 19:17:00+00:00,2010-09-01 20:30:00+00:00,1.21666666666667
34525,KEYSTONE GAS PLANT,RN100238633,144919,EMISSIONS EVENT,2010-09-15 22:12:00+00:00,2010-09-16 05:26:00+00:00,7.23333333333333
